               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061398,            0.032697,            0.065308,             0.56356,             0.17225,             0.17163,             0.10315,            0.032679,              0.0158,            0.045664,            0.070045,           0.0033283,           0.0033283
                   1,            0.046495,            0.027988,             0.04108,             0.45465,             0.36008,             0.35081,             0.20458,            0.031979,            0.016445,            0.028917,            0.039913,           0.0065298,           0.0065298
                   2,            0.045699,             0.02881,             0.02872,             0.40318,             0.40987,             0.34577,             0.19549,            0.030136,            0.016033,            0.030497,           0.0096492,           0.0095992,           0.0095992
                   3,            0.044168,               0.029,            0.026391,             0.38204,             0.40279,             0.38203,             0.21793,            0.031033,            0.016996,             0.02584,            0.009406,            0.009406,            0.009406
                   4,            0.042506,            0.028737,            0.023468,             0.43735,             0.43006,             0.41467,             0.24911,            0.029074,            0.016519,            0.025879,            0.009406,            0.009406,            0.009406
                   5,            0.040728,            0.027872,            0.020678,             0.39801,             0.41647,             0.36869,             0.20749,            0.028979,            0.015872,            0.028195,            0.009208,            0.009208,            0.009208
                   6,            0.039457,            0.027862,            0.018441,             0.42371,             0.52566,             0.46626,              0.2794,            0.028495,            0.016377,            0.020101,             0.00901,             0.00901,             0.00901
                   7,            0.037973,            0.026933,            0.015926,             0.47136,             0.45979,             0.46221,             0.29023,            0.028271,            0.015648,             0.02294,            0.008812,            0.008812,            0.008812
                   8,            0.036875,            0.026874,            0.014233,              0.5229,             0.51205,             0.54952,             0.33758,            0.026833,            0.015655,            0.018716,            0.008614,            0.008614,            0.008614
                   9,            0.036352,            0.026374,            0.014218,             0.50885,             0.57163,             0.55623,             0.35085,            0.026216,            0.015265,            0.019241,            0.008416,            0.008416,            0.008416
                  10,            0.035515,            0.026162,            0.012539,             0.52468,             0.54768,             0.54851,             0.34734,            0.025594,            0.014877,             0.01778,            0.008218,            0.008218,            0.008218
                  11,            0.034866,            0.025788,            0.012032,             0.52921,             0.59611,             0.58206,              0.3843,            0.025036,            0.015505,             0.01582,             0.00802,             0.00802,             0.00802
                  12,            0.034484,            0.025717,            0.012001,              0.5223,              0.5978,             0.55805,              0.3561,            0.025193,            0.015864,            0.017101,            0.007822,            0.007822,            0.007822
                  13,            0.033156,            0.025571,            0.010381,             0.58197,              0.5959,             0.63937,             0.41403,            0.024551,            0.015166,            0.011166,            0.007624,            0.007624,            0.007624
                  14,            0.032958,            0.025347,             0.01072,             0.57971,             0.53331,             0.57939,             0.37899,             0.02454,            0.015805,            0.015811,            0.007426,            0.007426,            0.007426
                  15,            0.032731,            0.025024,           0.0096682,             0.49053,             0.56869,             0.56848,             0.37015,            0.024746,            0.015088,            0.014022,            0.007228,            0.007228,            0.007228
                  16,            0.032218,            0.024551,           0.0091491,             0.56468,             0.59997,             0.60074,             0.40545,            0.023864,            0.015788,            0.013225,             0.00703,             0.00703,             0.00703
                  17,            0.031432,            0.024728,           0.0083466,             0.58238,             0.66114,             0.62955,             0.42994,            0.023658,            0.015016,            0.012292,            0.006832,            0.006832,            0.006832
                  18,            0.031323,            0.024183,           0.0080497,                0.56,             0.60334,             0.60984,             0.40957,            0.023511,             0.01531,            0.015286,            0.006634,            0.006634,            0.006634
                  19,            0.030628,            0.023707,            0.007634,             0.57807,             0.62916,             0.63915,             0.42125,            0.022951,            0.014973,             0.01496,            0.006436,            0.006436,            0.006436
                  20,             0.03019,            0.023544,           0.0076447,              0.5718,             0.63069,             0.62673,             0.43018,            0.022913,            0.014638,            0.013921,            0.006238,            0.006238,            0.006238
