               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062807,            0.039127,            0.066156,             0.20131,             0.27341,             0.16064,            0.086494,            0.039774,            0.020775,            0.048952,            0.070049,           0.0033279,           0.0033279
                   1,            0.046409,            0.035186,            0.043261,             0.35753,             0.41039,             0.33709,             0.18568,            0.036786,            0.021016,            0.033363,            0.039917,           0.0065293,           0.0065293
                   2,            0.046173,            0.035667,            0.029332,             0.48718,             0.38807,             0.37727,             0.20334,            0.037022,            0.021853,            0.028105,           0.0096536,           0.0095987,           0.0095987
                   3,            0.043097,            0.036017,            0.024814,             0.42064,             0.52307,             0.46306,             0.27226,            0.034151,            0.021002,            0.022523,            0.009406,            0.009406,            0.009406
                   4,            0.041006,            0.035511,            0.021448,             0.49872,             0.49236,             0.47448,             0.27646,            0.034174,            0.020862,            0.024565,            0.009406,            0.009406,            0.009406
                   5,            0.039342,            0.034958,             0.01842,             0.57794,             0.53078,             0.55173,             0.32318,            0.034429,            0.021391,             0.02072,            0.009208,            0.009208,            0.009208
                   6,            0.037925,            0.034192,            0.016388,              0.5767,             0.59242,             0.60647,             0.36771,            0.031043,            0.020236,            0.018115,             0.00901,             0.00901,             0.00901
                   7,            0.036571,            0.034524,            0.015153,               0.598,             0.58291,             0.60442,             0.37033,            0.031623,             0.02145,            0.018825,            0.008812,            0.008812,            0.008812
                   8,            0.036007,            0.033843,            0.013895,             0.64373,             0.59328,             0.65028,             0.40955,            0.030124,            0.019879,            0.014781,            0.008614,            0.008614,            0.008614
                   9,            0.034868,            0.033789,            0.011982,             0.61415,             0.65077,             0.66376,             0.41715,            0.029145,            0.019783,            0.014048,            0.008416,            0.008416,            0.008416
                  10,            0.034512,            0.033055,            0.011683,             0.61446,             0.64198,             0.65809,             0.42396,            0.028666,            0.019512,            0.013527,            0.008218,            0.008218,            0.008218
                  11,            0.033658,             0.03307,            0.011216,             0.68096,             0.62854,             0.69032,             0.44675,            0.027552,            0.019376,            0.013192,             0.00802,             0.00802,             0.00802
                  12,             0.03337,            0.033029,             0.01066,             0.64529,             0.67502,             0.69807,             0.45166,            0.028717,            0.019565,            0.011936,            0.007822,            0.007822,            0.007822
                  13,            0.032725,            0.031954,            0.009606,             0.67895,             0.65629,              0.7094,             0.46328,              0.0285,             0.01928,            0.010343,            0.007624,            0.007624,            0.007624
                  14,            0.032585,            0.032556,           0.0091147,             0.65865,             0.66598,              0.6944,             0.45228,            0.027599,            0.019954,            0.010813,            0.007426,            0.007426,            0.007426
                  15,             0.03202,            0.032177,           0.0088864,             0.62462,             0.62737,             0.65429,             0.41919,            0.027854,              0.0196,            0.014671,            0.007228,            0.007228,            0.007228
                  16,            0.031282,            0.032068,           0.0082159,             0.69522,             0.64891,             0.70892,             0.47251,            0.026675,            0.018975,            0.011398,             0.00703,             0.00703,             0.00703
                  17,            0.031539,            0.031776,           0.0080025,             0.67705,             0.67637,             0.70827,             0.47091,             0.02685,            0.019099,            0.011853,            0.006832,            0.006832,            0.006832
                  18,            0.031187,            0.031395,           0.0081944,             0.70885,             0.67302,             0.73572,             0.49623,            0.026424,            0.018963,             0.01076,            0.006634,            0.006634,            0.006634
                  19,            0.030667,            0.030803,           0.0072496,             0.69505,             0.70661,             0.73602,             0.49965,            0.026341,            0.019246,            0.010381,            0.006436,            0.006436,            0.006436
                  20,            0.030362,            0.030822,           0.0069165,              0.6756,             0.70782,              0.7326,             0.49608,            0.026489,            0.019072,           0.0099523,            0.006238,            0.006238,            0.006238
                  21,            0.030327,            0.030236,           0.0071075,             0.69831,             0.67382,             0.73122,             0.50032,            0.026229,            0.018964,            0.011461,             0.00604,             0.00604,             0.00604
                  22,            0.029877,            0.030259,           0.0068637,             0.69783,             0.70554,             0.73776,             0.49962,            0.026573,             0.01922,           0.0095092,            0.005842,            0.005842,            0.005842
                  23,            0.029728,            0.030255,           0.0065658,             0.73134,             0.68322,             0.75325,             0.51842,            0.026111,            0.018744,            0.010585,            0.005644,            0.005644,            0.005644
                  24,            0.029425,            0.030095,           0.0066316,             0.69326,             0.68399,             0.73756,             0.50943,            0.026388,            0.018803,            0.011899,            0.005446,            0.005446,            0.005446
