               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062807,            0.039127,            0.066156,             0.20131,             0.27341,             0.16064,            0.086494,            0.039774,            0.020775,            0.048952,            0.070049,           0.0033279,           0.0033279
                   1,            0.046599,            0.035224,            0.043374,             0.43324,             0.38027,             0.34222,             0.17915,            0.039317,            0.020778,             0.03306,            0.039967,           0.0065788,           0.0065788
                   2,            0.046072,            0.035689,            0.029685,             0.48192,             0.38789,             0.37716,             0.20519,            0.036449,            0.022276,            0.030197,            0.009802,           0.0097472,           0.0097472
                   3,            0.043421,            0.035887,            0.024499,             0.48061,             0.44189,             0.43076,             0.23932,            0.035545,            0.022194,            0.026628,           0.0096288,           0.0096288,           0.0096288
                   4,            0.041077,             0.03564,            0.021217,             0.54403,             0.41206,             0.43411,             0.24686,            0.034676,            0.021465,            0.030898,           0.0096288,           0.0096288,           0.0096288
                   5,             0.03929,            0.035029,            0.018545,             0.58033,             0.55674,             0.59047,             0.35181,            0.032675,            0.021048,            0.017792,            0.009505,            0.009505,            0.009505
                   6,            0.037871,            0.034387,            0.016975,             0.56655,             0.52952,             0.55669,             0.33214,            0.033244,            0.020748,            0.019229,           0.0093813,           0.0093813,           0.0093813
                   7,             0.03682,            0.034624,            0.014924,             0.59485,              0.6257,             0.62329,             0.38422,            0.030027,            0.021159,            0.016396,           0.0092575,           0.0092575,           0.0092575
                   8,            0.036441,             0.03419,            0.014477,             0.64137,             0.61528,             0.65503,             0.40974,             0.03044,            0.020117,            0.013885,           0.0091337,           0.0091337,           0.0091337
                   9,            0.035161,            0.033889,            0.012095,             0.62318,             0.63968,             0.66732,             0.42878,            0.029195,            0.019789,            0.012924,             0.00901,             0.00901,             0.00901
                  10,            0.034865,            0.033394,            0.012461,             0.63499,             0.63102,             0.67047,             0.42399,            0.028803,            0.020229,            0.012918,           0.0088863,           0.0088863,           0.0088863
                  11,            0.034222,            0.033354,            0.011608,             0.61173,             0.64622,             0.65112,             0.41148,            0.028753,            0.020003,            0.014278,           0.0087625,           0.0087625,           0.0087625
                  12,            0.033593,             0.03304,            0.010494,             0.65204,             0.62159,              0.6754,              0.4354,            0.029231,            0.020026,            0.010967,           0.0086388,           0.0086388,           0.0086388
                  13,            0.033048,            0.032095,            0.010057,             0.61381,             0.67807,             0.68091,             0.44207,            0.028993,            0.019562,            0.009033,            0.008515,            0.008515,            0.008515
                  14,            0.033074,            0.032747,           0.0092383,             0.69307,             0.63567,             0.70157,             0.46165,            0.027264,            0.019383,            0.015767,           0.0083913,           0.0083913,           0.0083913
                  15,            0.032385,            0.032392,           0.0091256,             0.66571,             0.70135,             0.71096,             0.46347,            0.027297,            0.019234,            0.013576,           0.0082675,           0.0082675,           0.0082675
                  16,            0.031801,            0.032195,           0.0082827,             0.66837,             0.67641,             0.71798,             0.47976,            0.027394,            0.019453,            0.010414,           0.0081437,           0.0081437,           0.0081437
