id,name,description,ingredients,ingredients_raw_str,serving_size,servings,steps,tags,search_terms
56494,Sweet Chilli Prawn Cakes,"These prawn cakes are a great appetizer or small finger food to serve with drinks. They can be made in huge batches, all shaped and kept in the freezer. And when you need them (which will be often), just take them out and shallow fry. It is ready to be served. Great for unexpected guest.","corn flakes, egg white, fresh lime leaves, oil, prawns, rice flour, sweet chili sauce","[""600   g   green prawns (raw)"",""1       egg white"",""2       fresh lime leaves, shredded "",""3   tablespoons    sweet chili sauce"",""2   cups   fresh corn flakes, crushed finely "",""3   tablespoons    rice flour"",""  oil, for shallow frying "","" extra sweet chili sauce, to serve ""]",1 (179 g),4,"['Place prawn meat, egg white, lime leaves, sweet chili sauce, corn flakes and rice flour in a food processor and process till the mixture is combined, BUT not smooth.', 'With wet hands, shape the mixture into small cakes.', 'Heat enough oil in a frying pan over medium heat to shallow fry.', 'Add prawn cakes a few at a time and cook for 3 minutes on each side, or till golden brown.', 'Place the cooked prawn cakes on kitchen towels to soak up the excess oil.', 'Serve with the extra sweet chili sauce.']","['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'malaysian', 'appetizers', 'lunch', 'seafood', 'asian', 'chinese', 'thai', 'vietnamese', 'easy', 'beginner-cook', 'potluck', 'dinner-party', 'fall', 'finger-food', 'romantic', 'spring', 'summer', 'winter', 'shrimp', 'food-processor-blender', 'stove-top', 'spicy', 'seasonal', 'brown-bag', 'shellfish', 'brunch', 'taste-mood', 'savory', 'to-go', 'equipment', 'small-appliance', 'presentation', 'served-hot']","{'lunch', 'malaysian', 'dessert', 'thai', 'appetizer', 'dinner', 'vietnamese', 'cake', 'chinese'}"
82971,Coconut Basmati Rice,This is from the ,"basmati rice, cinnamon stick, coconut milk, raisins, salt, turmeric, water","[""1 1/3  cups    water"",""1   cup    basmati rice"",""1/2  cup    coconut milk"",""1/2  teaspoon    turmeric"",""1/4  teaspoon    salt"",""1       cinnamon stick (1-inch)"",""1/4  cup    raisins or 1/4  cup    currants""]",1 (163 g),3,"['Bring water to the boil.', 'While water heats, rinse the rice well.', 'When water boils, stir in the rice and all of the remaining ingredients.', 'Return to a boil.', 'Stir, cover, reduce heat to low and simmer for 15 minutes.', 'Take off the heat and allow rice to rest for 10 minutes.', 'Remove the cinnamon stick, stir to fluff the rice and serve.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', 'healthy', 'malaysian', 'side-dishes', 'fruit', 'rice', 'asian', 'thai', 'dinner-party', 'kosher', 'vegan', 'vegetarian', 'nuts', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'coconut', 'pasta-rice-and-grains', 'white-rice', 'brunch', 'equipment']","{'rice', 'low-sodium', 'vegetarian', 'malaysian', 'healthy', 'thai', 'side', 'dinner', 'vegan'}"
520550,Bubur Ayam McD,"This is a copycat recipe for Bubur Ayam McD (Juicy chicken strips in mouth-watering porridge, garnished with spring onions, sliced ginger, fried shallots and diced chilies. Just like mum's cooking!) which is offered at McDonald's restaurants in Malaysia.","boneless skinless chicken breasts, chicken stock, chilies, frenchfried onions, fresh ginger, green onions, long grain rice, salt","[""3/4  cup    long grain rice"",""10   cups    chicken stock, divided "",""1   teaspoon    salt"","""",""4       boneless skinless chicken breasts, cooked shredded "",""4       green onions, sliced "",""1/2  cup    French-fried onions or 1/2  cup   crispy fried shallots"",""2      red birdseye chilies, chopped finely "",""1   inch    fresh ginger, peeled sliced thinly ""]",1 (395 g),8,"['In a large pot, bring 9 cups stock and rice to a boil.', 'When the rice is boiling, turn the heat down to medium low. Place the lid on the pot, tilting it to allow steam to escape (the same as you would do when making cooked rice).', 'Cook on medium low to low heat, stirring occasionally, until the rice has the thick, creamy texture of porridge (1-1 1/4 hours).', 'About 30 minutes before the rice is ready, in a saute pot add the shredded chicken and the remaining cup of chicken stock and bring to a simmer.', 'When ready to serve, ladle rice porridge into bowl and top with 1/8th shredded chicken and your choice of green onions, french-fried onions, ginger slices and fresh chilies.']","['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'granola-and-porridge', 'malaysian', 'breakfast', 'poultry', 'rice', 'asian', 'easy', 'kid-friendly', 'chicken', 'dietary', 'copycat', 'comfort-food', 'inexpensive', 'meat', 'chicken-breasts', 'pasta-rice-and-grains', 'long-grain-rice', 'taste-mood', '4-hours-or-less', 'from-scratch']","{'breakfast', 'malaysian'}"
101671,Fish Exotica,"One fine day, I sat down and wondered to myself how I could create a colorful dish, using fish fillets with refreshing ingredients, spicy yet appetizing. Here it is; hope you like this. I have created exotica.","fish fillets, fresh coriander leaves, fresh ginger, hoisin sauce, lemongrass, limes, olive oil, red chilies, sugar","[""4       tilapia fillets or 4      any other fish fillets"",""3   tablespoons    olive oil"",""8       lemongrass, finely chopped "",""150   g    fresh ginger, finely chopped "",""4      fresh red chilies, finely chopped "",""4   tablespoons    hoisin sauce"",""2   teaspoons    sugar"",""2       limes"",""1   cup    fresh coriander leaves, finely chopped ""]",1 (328 g),4,"['Get the steamer ready for the fish fillets.', 'Bring water to boil.', 'Add oil to wok.', 'Fry the lemongrass, ginger, and red chilies until fragrant.', 'Add the Hoisin sauce then the sugar.', 'Once the water comes to a boil, pour it over the fish fillets and place in the steamer for 8 minutes.', 'Squeeze the limes. Sprinkle the lime juice,  onto the fish fillets.', 'Garnish with coriander leaves.', 'Ready to serve.', 'Serve with white rice.', 'Serve with other dishes.']","['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'malaysian', 'main-dish', 'seafood', 'asian', 'steam', 'fish', 'spicy', 'one-dish-meal', 'stir-fry', 'freshwater-fish', 'whitefish', 'saltwater-fish', 'tilapia', 'taste-mood', 'equipment', 'presentation', 'served-hot', 'technique']","{'fish', 'dinner', 'malaysian'}"
511416,Black Pepper Crab Legs Singapore Style,This quick stir-fry is sure to please any crab aficionado who likes it spicy.,"garlic cloves, ginger, king crab legs, peanut oil, salt, turmeric, water, whole black peppercorns","[""6   tablespoons    whole black peppercorns"",""8       garlic cloves, roughly chopped "",""1   piece    turmeric, peeled thinly sliced  (7 1/2 inches) or 6   teaspoons    ground turmeric"",""1   piece    ginger, peeled thinly sliced  (3 inches)"",""  salt, to taste "",""2   tablespoons    water"",""3   tablespoons    peanut oil"",""3   lbs   precooked king crab legs or 3   lbs   precooked snow crab legs, defrosted if frozen "",""3/4  cup    water""]",1 (558 g),2,"['Pulse peppercorns in a spice grinder until coarsely ground and set aside. Place garlic, turmeric, ginger, salt, and 2 tbsp water in a food processor. Puree into a smooth paste and transfer to a bowl. Stir in reserved pepper.', 'Heat oil in a 14 inch wok or large skillet over medium-low heat. Add paste and cook, stirring occasionally, until fragrant and paste begins to separate (10 minutes).', 'Increase heat to medium-high. Add crab all at once and 3/4 cup water and bring to a boil.', 'Cook, stirring constantly, until crab shells are bright red and meat is heated through (5–7 minutes). Serve immediately.']","['weeknight', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'for-1-or-2', 'malaysian', 'main-dish', 'side-dishes', 'seafood', 'asian', 'dinner-party', 'crab', 'indonesian', 'spicy', 'stir-fry', 'shellfish', 'taste-mood', 'number-of-servings', 'technique', 'from-scratch']","{'side', 'dinner', 'indonesian', 'malaysian'}"
381826,Pulut Kuning,Use this rice with Rendang or chicken curry.  This is for an electric rice cooker.,"glutinous rice, grated fesh coconut, salt, screwpine leaves, turmeric powder, water","[""5   cups    glutinous rice"",""4 1/2  cups    water"",""1/2  teaspoon    turmeric powder"",""1/2  cup    grated fesh coconut"",""2       screwpine leaves"",""1   teaspoon    salt""]",1 (339 g),6,"['Wash rice and put all ingredients into rice cooker.  Turn on cooker.', 'Once cooked fluff up with a fork and remove screwpine leaves.']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'malaysian', 'side-dishes', 'asian', 'easy', 'pasta-rice-and-grains', '3-steps-or-less']","{'side', 'malaysian'}"
77459,Malaysian Portuguese-Eurasian Yellow Curry -Too Easy,"Too simple. Children love it too! This is an authentic Portuguese-Eurasian yellow curry, as my mom lives in the only village-settlement for Portuguese-Eurasian of Malaysia.","cumin, eggplants, fennel, onions, stingray, turmeric powder","[""4   tablespoons   white cumin"",""4   tablespoons    fennel (sweet cumin)"",""1   tablespoon    turmeric powder"",""8   big    onions"",""  stingray (or Anything!) or   chicken (or Anything!)"",""  cabbage (or all) or   long beans (or all)""]",1 (313 g),4,"['Blend all onions Fry the blended onions in oil till aroma Add in the spices, lower the fire.', 'Fry till aroma.', 'Add few cups of water.', ""Add salt and sugar to taste Add meat and vegetables If you want to use lady's fingers, boil them till cook, then pour over with curry."", 'Do not cook together.']","['curries', '30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'low-protein', 'healthy', 'malaysian', 'main-dish', 'poultry', 'seafood', 'vegetables', 'asian', 'european', 'diabetic', 'dinner-party', 'holiday-event', 'kid-friendly', 'kosher', 'low-fat', 'portuguese', 'fish', 'chicken', 'dietary', 'spicy', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'ramadan', 'inexpensive', 'healthy-2', 'low-in-something', 'meat', 'saltwater-fish', 'onions', 'taste-mood', 'presentation', 'served-hot']","{'diabetic', 'low-calorie', 'low-sodium', 'malaysian', 'healthy', 'low-fat', 'dinner'}"
201031,Kaya (Coconut Egg Custard),"Kaya (or Serikaya) is an Asian coconut egg custard that is eaten spread on thin toast with lots of butter.  Is it a traditional breakfast in Singapore and Malaysia.  The directions in this recipe come from ""Cook Malaysian"" by Lee Sook Ching, with a slightly modified ingredient list to make things simpler for people outside of Asia.

I find pandan leaves in my local Asian market, but I have also used pandan extract with good results.  It can be omited, but the flavor won't be the same.

I press the mixture through a sieve before bottling.","coconut cream, eggs, pandan leaves, sugar","[""1 1/4  cups    coconut cream"",""3   large    eggs"",""1   cup    sugar"",""2 -3       pandan leaves, knotted ""]",1 (90 g),8,"['Start with one cup of sugar, but more can be used.  Use less/more pandan, depending on the level of fragrance you want this to have.', 'Combine the eggs and sugar in a bowl until well blended and the sugar is completely dissolved.', 'Add in coconut cream and mix well.', 'Pour mixture into the top of a double boiler and ""steam"" uncovered for 1 hour, stirring constantly.', 'Cover then ""steam"" for another 2 hours, refilling with boiling water and stirring mixture every 1/2 hour.', 'After steaming for a combined 3 hours, the mixture should be thick and golden brown.', 'Add the knotted pandan leaves and allow the mixture to ""steam"" for another hour without stirring.', 'Remove knotted pandan leaves and cool before filling into clean, warm bottles to store.']","['course', 'main-ingredient', 'cuisine', 'preparation', '5-ingredients-or-less', 'jams-and-preserves', 'malaysian', 'desserts', 'condiments-etc', 'eggs-dairy', 'fruit', 'asian', 'easy', 'steam', 'nuts', 'stove-top', 'indonesian', 'coconut', 'equipment', 'technique']","{'dessert', 'indonesian', 'malaysian'}"
65211,Homemade Popiah Wrapper ( Spring Roll ),This is a recipe from my neighbour. She's 85 and was formerly from CHINA. Still cooking for us kids.,"baking powder, corn oil, egg, flour, tapioca flour, water","[""250   g    flour"",""1   tablespoon    tapioca flour"",""1/2  teaspoon    baking powder"",""2   tablespoons    corn oil"",""1   large    egg, lightly beaten "",""325   ml    water""]",1 (42 g),10,"['Sift together the dry ingredients.', 'Mix in the rest of the ingredients.', 'Knead the dough. It should have a bouncy texture, and should stick to your hand. Heat up a wok, without oil, and make sure to use a non stick pan, as it is easier.', 'When the wok is hot, spread the dough around the wok in a thin layer (use your hand as the dough is still sticking to it). Size is about 6 inches.', 'Remove when cooked (roughly around 30 seconds).']","['60-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'malaysian', 'appetizers', 'lunch', 'snacks', 'asian', 'chinese', 'vietnamese', 'dietary']","{'lunch', 'malaysian', 'appetizer', 'vietnamese', 'chinese', 'snack'}"
193347,Steamed Tilapia Fish,"Over the years, I have discovered that the best way to enjoy river fishes is to have it steamed. It is easy and not fussy in preparation and it will be ready in 25 minutes.","boiling water, chinese wine, dried chilies, garlic, gingerroot, light soya sauce, salt, spring onion, sugar, tilapia fillets","[""1       tilapia fillets or 1      freshwater fish fillet"",""1/4  cup   thinly sliced gingerroot"",""1/4  cup   finely chopped garlic"",""1   stalk    spring onion, 1 inch each "",""2   tablespoons   shaoshing Chinese wine"",""1   tablespoon    light soya sauce"",""1   tablespoon    salt"",""1/2  tablespoon    sugar"",""8       dried chilies"",""3   liters    boiling water""]",1 (831 g),2,"['Clean the fish on the inside as well as outside. De-scaleS the fish.', 'Make 3 long diagonal cuts on its body.', ""Sprinkle salt evenly throughout on both its sides. Don't miss the top of its head and the cuts."", 'Insert ginger slices into the cuts and inside its guts.', 'Sprinkle some garlic and the spring onions onto aluminium foil then place fish over the garlic and into a steamer.', 'Pour in cooking wine and the rest of the ingredients for sauce on and around the fish.', 'Make sure water is already boiling. If so, steam for 20 minutes. Otherwise, 25-30 minutes.', 'Enjoy!']","['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'for-1-or-2', 'malaysian', 'main-dish', 'seafood', 'asian', 'easy', 'steam', 'fish', 'inexpensive', 'freshwater-fish', 'tilapia', 'number-of-servings', 'technique']","{'fish', 'dinner', 'malaysian'}"
